index,status,uuid,experiment,file_path,image,args,params,cpu_request,memory_request,disk_request,GPU,next_job
44,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-18-T140000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-18-T140000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
45,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-18-T150000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-18-T150000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
46,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-18-T160000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-18-T160000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
47,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-18-T170000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-18-T170000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
48,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-18-T180000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-18-T180000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
49,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-18-T190001-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-18-T190001-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
50,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-18-T200000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-18-T200000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
51,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-18-T210000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-18-T210000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
52,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-18-T220000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-18-T220000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
53,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-18-T230000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-18-T230000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
54,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-19-T000001-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-19-T000001-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
55,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-19-T010001-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-19-T010001-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
56,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-19-T020000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-19-T020000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
57,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-19-T030000-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-19-T030000-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
58,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-19-T040001-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-19-T040001-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
59,ready,2023-09-16-e-mouse-5plex-official-right,2023-09-19-T050001-chip19894_right,s3://braingeneers/ephys/2023-09-16-e-mouse-5plex-official-right/derived/kilosort2/2023-09-19-T050001-chip19894_right_acqm.zip,surygeng/connectivity:v0.1,python run_conn.py,connectivity/params_small_bin.json,1,16,2,0,None
